College,City,State,Tuition_Cost_IN,Tuition_Cost_OUT,Credit_Cost_IN,Credit_Cost_OUT,Books_Cost,Living_Cost_On,Living_Cost_Off
Alabama A & M University,Normal, AL,9366,17136,259,518,1600,11930,11930
University of Alabama at Birmingham,Birmingham, AL,7766,17654,528,940,1200,15695,15695
Amridge University,Montgomery, AL,6900,6900,330,330,1500,0,11200
University of Alabama in Huntsville,Huntsville, AL,9128,20622,0,0,1639,13713,13713
Alabama State University,Montgomery, AL,8723,15656,289,578,1600,8814,11548
University of Alabama System Office,Tuscaloosa, AL,0,0,0,0,0,0,0
The University of Alabama,Tuscaloosa, AL,10170,25950,415,1090,1200,17052,17052
Central Alabama Community College,Alexander City, AL,4320,7770,0,0,1400,0,13643
Athens State University,Athens, AL,0,0,0,0,0,0,0
Auburn University at Montgomery,Montgomery, AL,9350,20210,0,0,1100,8420,12652
Auburn University,Auburn University, AL,10424,28040,0,0,1200,18170,18170
Birmingham Southern College,Birmingham, AL,33128,33128,0,0,1260,14122,12272
Chattahoochee Valley Community College,Phenix City, AL,4380,7830,0,0,800,0,7200
Concordia College Alabama,Selma, AL,10320,10320,0,0,1600,15600,18600
South University-Montgomery,Montgomery, AL,16761,16761,0,0,1500,0,8958
Enterprise State Community College,Enterprise, AL,4320,7770,0,0,1000,0,8096
James H Faulkner State Community College,Bay Minette, AL,4320,7770,0,0,1450,7910,7020
Faulkner University,Montgomery, AL,19280,19280,0,0,1800,11330,12700
Gadsden State Community College,Gadsden, AL,3216,5976,0,0,1500,5924,7417
George C Wallace State Community College-Dothan,Dothan, AL,4260,7710,0,0,1900,0,4450
George C Wallace State Community College-Hanceville,Hanceville, AL,4320,7770,0,0,1400,7960,10560
George C Wallace State Community College-Selma,Selma, AL,4020,7470,0,0,1875,0,16600
Herzing University-Birmingham,Birmingham, AL,13090,13090,0,0,0,0,15120
Huntingdon College,Montgomery, AL,25050,25050,0,0,1000,9885,7885
Heritage Christian University,Florence, AL,9792,9792,0,0,1000,6840,13725
J F Drake State Community and Technical College,Huntsville, AL,4290,7740,0,0,2000,0,8700
J F Ingram State Technical College,Deatsville, AL,0,0,0,0,0,0,0
Jacksonville State University,Jacksonville, AL,7500,14700,0,0,1596,12036,16712
Jefferson Davis Community College,Brewton, AL,4028,7478,0,0,1600,7600,8000
Jefferson State Community College,Birmingham, AL,4380,7830,0,0,1982,0,15254
John C Calhoun State Community College,Tanner, AL,4320,7770,0,0,1500,0,7700
Judson College,Marion, AL,16868,16868,0,0,1250,12586,0
Lawson State Community College-Birmingham Campus,Birmingham, AL,4320,7770,0,0,1600,7760,13367
University of West Alabama,Livingston, AL,8734,15878,0,0,1200,9224,9214
Lurleen B Wallace Community College,Andalusia, AL,4320,7770,0,0,1192,0,13075
Marion Military Institute,Marion, AL,8778,14778,0,0,1600,6850,0
Miles College,Fairfield, AL,11604,11604,0,0,1200,9810,13278
University of Mobile,Mobile, AL,20470,20470,695,695,1630,13878,13718
University of Montevallo,Montevallo, AL,11410,22780,0,0,2050,12432,12432
Northwest-Shoals Community College,Muscle Shoals, AL,4291,7741,0,0,1750,0,10785
University of North Alabama,Florence, AL,7774,13870,254,508,1300,9016,9300
Northeast Alabama Community College,Rainsville, AL,4320,7770,0,0,1970,0,4500
Oakwood University,Huntsville, AL,16720,16720,0,0,1440,17590,16050
Alabama Southern Community College,Monroeville, AL,4320,7770,0,0,1500,0,8400
Prince Institute-Southeast,Montgomery, AL,10484,10484,0,0,1200,0,16082
Reid State Technical College,Evergreen, AL,4380,7830,0,0,1125,0,6500
Bishop State Community College,Mobile, AL,4320,7770,0,0,1500,0,6500
Samford University,Birmingham, AL,28370,28370,0,0,1000,14296,15630
Selma University,Selma, AL,6705,6705,250,250,900,11000,7500
Shelton State Community College,Tuscaloosa, AL,3933,7383,0,0,1800,0,9000
Snead State Community College,Boaz, AL,4380,7830,0,0,2250,5982,8170
University of South Alabama,Mobile, AL,7332,14364,293,586,1200,11720,12536
Spring Hill College,Mobile, AL,34092,34092,0,0,1500,15476,10860
Southeastern Bible College,Birmingham, AL,12600,12600,0,0,1000,7323,8615
Stillman College,Tuscaloosa, AL,10418,10418,0,0,1220,10456,10456
Talladega College,Talladega, AL,12510,12510,466,466,1200,8604,5300
H Councill Trenholm State Technical College,Montgomery, AL,4074,7524,0,0,1200,0,8950
Troy University,Troy, AL,7924,14812,287,574,1124,9885,11210
Tuskegee University,Tuskegee, AL,20015,20015,0,0,1603,14839,14839
United States Sports Academy,Daphne, AL,0,0,0,0,0,0,0
Bevill State Community College,Jasper, AL,4350,7800,0,0,1200,8300,12660
University of Alaska Anchorage,Anchorage, AK,5545,17177,0,0,1440,17049,18992
Alaska Bible College,Palmer, AK,9300,9300,0,0,600,7400,12320
University of Alaska Fairbanks,Fairbanks, AK,5674,17303,0,0,1400,11030,14750
University of Alaska Southeast,Juneau, AK,6132,17306,183,649,1400,10446,16702
Alaska Pacific University,Anchorage, AK,19610,19610,0,0,1200,10200,18900
AVTEC-Alaska's Institute of Technology,Seward, AK,0,0,0,0,0,0,0
Charter College-Anchorage,Anchorage, AK,20137,20137,0,0,0,0,12138
Prince William Sound Community College,null, AK,0,0,0,0,0,0,0
University of Alaska System of Higher Education,Fairbanks, AK,0,0,0,0,0,0,0
Everest College-Phoenix,Phoenix, AZ,0,0,0,0,0,0,0
Collins College,Phoenix, AZ,0,0,0,0,0,0,0
Thunderbird School of Global Management,Glendale, AZ,0,0,0,0,0,0,0
American Indian College Inc,Phoenix, AZ,11700,11700,0,0,800,10542,14340
CollegeAmerica-Flagstaff,Flagstaff, AZ,16968,16968,0,0,0,0,15472
Brookline College-Phoenix,Phoenix, AZ,85000,85000,0,0,0,0,67080
Arizona State University-Tempe,Tempe, AZ,10158,25458,0,0,1081,14465,13924
Arizona Western College,Yuma, AZ,2540,9530,0,0,1517,12321,14051
University of Arizona,Tucson, AZ,11403,32630,0,0,1200,13140,15500
Southwest University of Visual Arts-Tucson,Tucson, AZ,23069,23069,0,0,1000,0,19104
Central Arizona College,Coolidge, AZ,2460,10740,0,0,1350,9535,9535
Brown Mackie College-Tucson,Tucson, AZ,13788,13788,0,0,603,0,11565
Cochise County Community College District,Douglas, AZ,1848,6000,0,0,1000,8111,11611
Eastern Arizona College,Thatcher, AZ,2080,9580,0,0,850,10935,10935
Embry-Riddle Aeronautical University-Prescott,Prescott, AZ,33144,33144,0,0,1400,14448,14448
Glendale Community College,Glendale, AZ,2046,7830,0,0,1280,0,12060
Grand Canyon University,Phoenix, AZ,17050,17050,0,0,800,14250,14250
Anthem College-Phoenix,Phoenix, AZ,0,0,0,0,0,0,0
Maricopa Community College System Office,Tempe, AZ,0,0,0,0,0,0,0
GateWay Community College,Phoenix, AZ,2046,7830,0,0,1280,0,12060
Mesa Community College,Mesa, AZ,2046,7830,0,0,1280,0,12060
ITT Technical Institute-Tucson,Tucson, AZ,18048,18048,0,0,0,0,12362
ITT Technical Institute-Tempe,Tempe, AZ,18048,18048,0,0,0,0,12362
Mohave Community College,Kingman, AZ,2112,6972,0,0,810,0,12465
Dine College,Tsaile, AZ,0,0,0,0,0,0,0
Northern Arizona University,Flagstaff, AZ,10358,23348,0,0,1000,13982,13982
Northland Pioneer College,Holbrook, AZ,1712,7880,0,0,1400,0,13576
Ottawa University-Phoenix,Phoenix, AZ,0,0,0,0,0,0,0
Phoenix College,Phoenix, AZ,2046,7830,0,0,1280,0,12060
University of Phoenix-Phoenix Campus,null, AZ,0,0,0,0,0,0,0
Pima Community College,Tucson, AZ,1974,8610,0,0,1600,0,12346
Pima Medical Institute-Tucson,Tucson, AZ,12024,12024,0,0,670,0,15354
Prescott College,Prescott, AZ,27503,27503,0,0,2842,9646,6378
Rio Salado College,Tempe, AZ,2046,7830,0,0,1280,0,8608
Scottsdale Community College,Scottsdale, AZ,2046,7830,0,0,1280,0,12060
South Mountain Community College,Phoenix, AZ,2046,7830,0,0,1280,0,12060
Arizona Christian University,Phoenix, AZ,23110,23110,0,0,1200,13390,15000
Western International University,Tempe, AZ,6000,6000,0,0,0,0,11736
Yavapai College,Prescott, AZ,2064,8688,0,0,1600,11592,9700
University of Arkansas at Little Rock,Little Rock, AR,7624,17956,206,575,1715,13254,13434
University of Arkansas for Medical Sciences,Little Rock, AR,0,0,0,0,0,0,0
Arkansas Baptist College,Little Rock, AR,8760,8760,0,0,1000,12800,11754
Lyon College,Batesville, AR,25280,25280,0,0,1000,10110,10110
University of Arkansas,Fayetteville, AR,8522,21826,284,728,1000,13984,13984
University of Arkansas at Pine Bluff,Pine Bluff, AR,6538,12268,151,340,1000,10112,8308
Arkansas State University-Beebe,Beebe, AR,3480,5370,0,0,1256,8290,13301
Arkansas State University-Main Campus,Jonesboro, AR,8050,14050,0,0,1000,13053,13742
Arkansas Tech University,Russellville, AR,6192,11352,269,538,1410,10094,17400
University of Arkansas at Monticello,Monticello, AR,6446,12296,0,0,1200,9746,11700
Baptist Health Schools-Little Rock,Little Rock, AR,8802,8802,0,0,2150,0,19356
Black River Technical College,Pocahontas, AR,2832,5304,0,0,2328,0,9476
University of Central Arkansas,Conway, AR,7889,13806,0,0,1200,11453,11893
Central Baptist College,Conway, AR,14400,14400,430,430,1350,9754,7750
Cossatot Community College of the University of Arkansas,De Queen, AR,3030,5820,0,0,300,0,11660
Crowley's Ridge College,Paragould, AR,11900,11900,0,0,600,8460,9460
Crowley's Ridge Technical Institute,Forrest City, AR,0,0,0,0,0,0,0
East Arkansas Community College,Forrest City, AR,3090,3600,0,0,2000,0,8000
National Park Community College,Hot Springs, AR,3500,4580,0,0,1600,0,12611
University of Arkansas Community College-Batesville,Batesville, AR,2562,3942,0,0,1400,0,9639
Harding University,Searcy, AR,17805,17805,0,0,900,9828,9828
Henderson State University,Arkadelphia, AR,8100,14700,0,0,1600,10732,12216
Hendrix College,Conway, AR,40870,40870,0,0,1100,14244,11320
Jefferson Regional Medical Center School of Nursing,Pine Bluff, AR,0,0,0,0,0,0,0
John Brown University,Siloam Springs, AR,24468,24468,0,0,800,11514,5350
Mid-South Community College,West Memphis, AR,3034,4388,0,0,2000,0,14329
Arkansas Northeastern College,Blytheville, AR,2430,3830,0,0,1335,0,12091
North Arkansas College,Harrison, AR,2616,4320,0,0,1142,0,13101
Northwest Technical Institute,Springdale, AR,0,0,0,0,0,0,0
Ouachita Baptist University,Arkadelphia, AR,24120,24120,0,0,1100,9680,10663
College of the Ouachitas,Malvern, AR,3620,6410,0,0,1200,0,11655
Ozarka College,Melbourne, AR,2776,5128,0,0,1100,0,11855
University of the Ozarks,Clarksville, AR,24440,24440,0,0,1000,11485,13778
University of Arkansas Community College-Morrilton,Morrilton, AR,3020,3908,0,0,1264,0,9795
Philander Smith College,Little Rock, AR,12564,12564,0,0,1000,11676,15331
Phillips Community College of the University of Arkansas,Helena, AR,2968,4325,0,0,1100,0,9300
Southeast Arkansas College,Pine Bluff, AR,3070,5590,0,0,1300,0,10530
Pulaski Technical College,North Little Rock, AR,4332,6072,0,0,1200,0,14535
University of Arkansas Community College-Hope,Hope, AR,2640,4770,0,0,1000,0,14390
Rich Mountain Community College,Mena, AR,2784,5400,0,0,1000,0,13620
Shorter College,N Little Rock, AR,4904,4904,0,0,1096,0,16083
Williams Baptist College,Walnut Ridge, AR,16430,16430,0,0,1200,9980,10180
South Arkansas Community College,El Dorado, AR,2714,4538,0,0,1638,0,15114
Southern Arkansas University Main Campus,Magnolia, AR,7961,11531,0,0,1600,11650,13467
Southern Arkansas University Tech,Camden, AR,4677,6117,0,0,1600,12449,15674
University of Arkansas System Office,Little Rock, AR,0,0,0,0,0,0,0
University of Arkansas-Fort Smith,Fort Smith, AR,5062,11302,0,0,1235,10939,12069
