College,Total_Student,Undergrad,Grad,Male,Female
Alabama A & M University,5333,4210,1123,2379,2954
University of Alabama at Birmingham,18698,11679,7019,7410,11288
Amridge University,625,291,334,253,372
University of Alabama in Huntsville,7348,5618,1730,4177,3171
Alabama State University,5519,4812,707,2089,3430
The University of Alabama,36047,30752,5295,16231,19816
Central Alabama Community College,1726,1726,0,701,1025
Athens State University,3128,3128,0,1082,2046
Auburn University at Montgomery,5057,4377,680,1824,3233
Auburn University,25912,20629,5283,13114,12798
Birmingham Southern College,1185,1185,0,635,550
Chattahoochee Valley Community College,1805,1805,0,665,1140
Concordia College Alabama,546,546,0,331,215
South University-Montgomery,624,523,101,166,458
Enterprise State Community College,2011,2011,0,1111,900
James H Faulkner State Community College,4481,4481,0,1645,2836
Faulkner University,3335,2670,665,1333,2002
Gadsden State Community College,5289,5289,0,2168,3121
New Beginning College of Cosmetology,115,115,0,2,113
George C Wallace State Community College-Dothan,4854,4854,0,1742,3112
George C Wallace State Community College-Hanceville,5343,5343,0,2032,3311
George C Wallace State Community College-Selma,1663,1663,0,583,1080
Herzing University-Birmingham,309,305,4,114,195
Huntingdon College,1160,1160,0,588,572
Heritage Christian University,93,62,31,88,5
J F Drake State Community and Technical College,1062,1062,0,456,606
J F Ingram State Technical College,473,473,0,373,100
Jacksonville State University,8659,7647,1012,3681,4978
Jefferson Davis Community College,1086,1086,0,478,608
Jefferson State Community College,8516,8516,0,3292,5224
John C Calhoun State Community College,10802,10802,0,4757,6045
Judson College,378,378,0,12,366
Lawson State Community College-Birmingham Campus,3090,3090,0,1238,1852
University of West Alabama,3989,1922,2067,1188,2801
Lurleen B Wallace Community College,1599,1599,0,641,958
Marion Military Institute,439,439,0,353,86
Miles College,1782,1782,0,911,871
University of Mobile,1600,1466,134,538,1062
University of Montevallo,3070,2664,406,1002,2068
Northwest-Shoals Community College,3891,3891,0,1737,2154
University of North Alabama,6841,5885,956,2872,3969
Northeast Alabama Community College,2708,2708,0,1065,1643
Oakwood University,1939,1880,59,836,1103
Alabama Southern Community College,1398,1398,0,545,853
Prince Institute-Southeast,84,84,0,6,78
Reid State Technical College,549,549,0,216,333
Bishop State Community College,3320,3320,0,1346,1974
Samford University,4933,3051,1882,1851,3082
Selma University,558,539,19,214,344
Shelton State Community College,4978,4978,0,2209,2769
Snead State Community College,2258,2258,0,892,1366
University of South Alabama,15805,11479,4326,6105,9700
Spring Hill College,1376,1237,139,556,820
Southeastern Bible College,173,173,0,96,77
Stillman College,1056,1056,0,570,486
Talladega College,879,879,0,497,382
H Councill Trenholm State Technical College,1338,1338,0,673,665
Troy University,19041,15114,3927,7093,11948
Tuskegee University,3103,2588,515,1248,1855
United States Sports Academy,339,99,240,248,91
Bevill State Community College,3609,3609,0,1366,2243
University of Alaska Anchorage,17151,16291,860,7142,10009
Alaska Bible College,46,46,0,21,25
University of Alaska Fairbanks,8620,7484,1136,3655,4965
University of Alaska Southeast,2989,2681,308,1044,1945
Alaska Pacific University,579,326,253,195,384
AVTEC-Alaska's Institute of Technology,889,889,0,701,188
Charter College-Anchorage,3267,3256,11,951,2316
Alaska Career College,479,479,0,66,413
Everest College-Phoenix,4102,4102,0,1077,3025
Collins College,83,83,0,65,18
Empire Beauty School-Paradise Valley,25,25,0,4,21
Empire Beauty School-Tucson,126,126,0,9,117
Thunderbird School of Global Management,798,1,797,571,227
American Indian College Inc,91,91,0,42,49
American Institute of Technology,266,266,0,236,30
Carrington College-Phoenix,617,617,0,85,532
Carrington College-Mesa,718,718,0,121,597
Carrington College-Tucson,424,424,0,81,343
CollegeAmerica-Flagstaff,176,176,0,33,143
Arizona Academy of Beauty-East,32,32,0,0,32
Arizona Automotive Institute,628,628,0,606,22
Brookline College-Phoenix,1468,1429,39,294,1174
Arizona State University-Tempe,50320,39961,10359,28706,21614
Arizona Western College,7702,7702,0,3343,4359
University of Arizona,42236,32987,9249,20345,21891
Southwest University of Visual Arts-Tucson,172,161,11,82,90
Central Arizona College,5937,5937,0,2194,3743
Brown Mackie College-Tucson,611,611,0,233,378
Charles of Italy Beauty College,54,54,0,2,52
Cochise County Community College District,4379,4379,0,2010,2369
Empire Beauty School-Flagstaff,60,60,0,3,57
Empire Beauty School-Chandler,97,97,0,11,86
Cortiva Institute-Tucson,130,130,0,30,100
Avalon School of Cosmetology-Mesa,360,360,0,19,341
Eastern Arizona College,6379,6379,0,2952,3427
Embry-Riddle Aeronautical University-Prescott,2035,1984,51,1576,459
Frank Lloyd Wright School of Architecture,8,0,8,5,3
Glendale Community College,20506,20506,0,9581,10925
Grand Canyon University,62304,39400,22904,15657,46647
International Academy of Hair Design,188,188,0,16,172
GateWay Community College,5950,5950,0,2795,3155
Mesa Community College,22711,22711,0,11197,11514
ITT Technical Institute-Tucson,400,400,0,276,124
ITT Technical Institute-Tempe,445,445,0,335,110
Mohave Community College,4744,4744,0,1690,3054
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,1724,1724,0,1637,87
Dine College,1488,1488,0,507,981
Northern Arizona University,27705,23328,4377,11389,16316
Northland Pioneer College,3211,3211,0,1289,1922
Ottawa University-Phoenix,662,357,305,178,484
Phoenix College,12107,12107,0,4587,7520
Cortiva Institute-Scottsdale,87,87,0,25,62
Pima Community College,28070,28070,0,13067,15003
Pima Medical Institute-Tucson,1948,1948,0,491,1457
Pima Medical Institute-Albuquerque,892,892,0,166,726
Prescott College,848,464,384,280,568
Refrigeration School Inc,695,695,0,677,18
Rio Salado College,20215,20215,0,7718,12497
Roberto-Venn School of Luthiery,42,42,0,41,1
Hair Academy of Safford,85,85,0,4,81
Scottsdale Community College,9863,9863,0,4623,5240
