College,Applicants,Addmitted,Enrolled,Acceptance_Rate,Yield_Rate
Alabama A & M University,9901,5204,1207,0.5256,0.2319
University of Alabama at Birmingham,5710,4893,1748,0.8569,0.3572
Amridge University,1000,1000,1000,1,1
University of Alabama in Huntsville,2104,1726,724,0.8203,0.4195
Alabama State University,7673,4087,1091,0.5326,0.2669
University of Alabama System Office,1000,1000,1000,1,1
The University of Alabama,33736,17221,6824,0.5105,0.3963
Central Alabama Community College,1000,1000,1000,1,1
Athens State University,1000,1000,1000,1,1
Auburn University at Montgomery,2123,1702,613,0.8017,0.3602
Auburn University,16958,14154,4592,0.8347,0.3244
Birmingham Southern College,2770,1479,382,0.5339,0.2583
Chattahoochee Valley Community College,1000,1000,1000,1,1
Concordia College Alabama,137,73,48,0.5328,0.6575
South University-Montgomery,71,31,22,0.4366,0.7097
Enterprise State Community College,1000,1000,1000,1,1
James H Faulkner State Community College,1000,1000,1000,1,1
Faulkner University,1000,1000,1000,1,1
Gadsden State Community College,1000,1000,1000,1,1
New Beginning College of Cosmetology,1000,1000,1000,1,1
George C Wallace State Community College-Dothan,1000,1000,1000,1,1
George C Wallace State Community College-Hanceville,1000,1000,1000,1,1
George C Wallace State Community College-Selma,1000,1000,1000,1,1
Herzing University-Birmingham,77,77,70,1,0.9091
Huntingdon College,1437,839,227,0.5839,0.2706
Heritage Christian University,4,4,3,1,0.75
J F Drake State Community and Technical College,1000,1000,1000,1,1
J F Ingram State Technical College,1000,1000,1000,1,1
Jacksonville State University,2969,2472,1185,0.8326,0.4794
Jefferson Davis Community College,1000,1000,1000,1,1
Jefferson State Community College,1000,1000,1000,1,1
John C Calhoun State Community College,1000,1000,1000,1,1
Judson College,354,231,111,0.6525,0.4805
Lawson State Community College-Birmingham Campus,1000,1000,1000,1,1
University of West Alabama,1014,730,350,0.7199,0.4795
Lurleen B Wallace Community College,1000,1000,1000,1,1
Marion Military Institute,808,496,278,0.6139,0.5605
Miles College,1000,1000,1000,1,1
University of Mobile,1009,590,275,0.5847,0.4661
University of Montevallo,1821,1353,540,0.743,0.3991
Northwest-Shoals Community College,1000,1000,1000,1,1
University of North Alabama,2765,1877,944,0.6788,0.5029
Northeast Alabama Community College,1000,1000,1000,1,1
Oakwood University,2108,1009,374,0.4787,0.3707
Alabama Southern Community College,1000,1000,1000,1,1
Prince Institute-Southeast,1000,1000,1000,1,1
Reid State Technical College,1000,1000,1000,1,1
Bishop State Community College,1000,1000,1000,1,1
Samford University,4577,2725,730,0.5954,0.2679
Selma University,1000,1000,1000,1,1
Shelton State Community College,1000,1000,1000,1,1
Snead State Community College,1000,1000,1000,1,1
University of South Alabama,5465,4555,2073,0.8335,0.4551
Spring Hill College,6245,3233,362,0.5177,112
Southeastern Bible College,27,27,17,1,0.6296
Stillman College,4301,2538,253,0.5901,0.0997
Talladega College,1000,1000,1000,1,1
H Councill Trenholm State Technical College,1000,1000,1000,1,1
Troy University,6336,2797,2176,0.4414,0.778
Tuskegee University,7434,3659,636,0.4922,1738
United States Sports Academy,1000,1000,1000,1,1
Bevill State Community College,1000,1000,1000,1,1
University of Alaska Anchorage,1000,1000,1000,1,1
Alaska Bible College,1000,1000,1000,1,1
University of Alaska Fairbanks,1000,1000,1000,1,1
University of Alaska Southeast,1000,1000,1000,1,1
Alaska Pacific University,328,138,19,0.4207,1377
AVTEC-Alaska's Institute of Technology,579,283,283,0.4888,1
Charter College-Anchorage,1000,1000,1000,1,1
Prince William Sound Community College,1000,1000,1000,1,1
Alaska Career College,1000,1000,1000,1,1
University of Alaska System of Higher Education,1000,1000,1000,1,1
Everest College-Phoenix,1000,1000,1000,1,1
Collins College,1000,1000,1000,1,1
Empire Beauty School-Paradise Valley,1000,1000,1000,1,1
Empire Beauty School-Tucson,1000,1000,1000,1,1
Thunderbird School of Global Management,1000,1000,1000,1,1
American Indian College Inc,1000,1000,1000,1,1
American Institute of Technology,1000,1000,1000,1,1
Carrington College-Phoenix,208,206,131,0.9904,0.6359
Carrington College-Mesa,109,109,70,1,0.6422
Carrington College-Tucson,72,72,51,1,0.7083
CollegeAmerica-Flagstaff,1000,1000,1000,1,1
Arizona Academy of Beauty-East,1000,1000,1000,1,1
Arizona Automotive Institute,1000,1000,1000,1,1
Brookline College-Phoenix,1000,1000,1000,1,1
Arizona State University-Tempe,22581,19042,7647,0.8433,0.4016
