College,CITY,State,ZIP,Website,REGION,LATITUDE,LONGITUDE,ADDIMISSION_RATE,SAT_READING_MED,SAT_MATH_MED,SAT_WRITING_MED,ACT_CHEM_MED,ACT_ENG_MED,ACT_MATH_MED,SAT_AVG,UNDERGRADUATES,UNDERGRADUATE_WHITE,UNDERGRADUATE_BLACK,UNDERGRADUATE_HISPANIC,UNDERGRADUATE_ASIAN,UNDERGRADUATE_AIAN,UNDERGRADUATE_NHPI,ATTENDENCE_COST,TUITIONFEE_IN,TUITIONFEE_OUT,DEBT_MDN,GRAD_DEBT_MDN,WDRAW_DEBT_MDN,LO_INC_DEBT_MDN,MD_INC_DEBT_MDN,HI_INC_DEBT_MDN,FEMALE_DEBT_MDN,MALE_DEBT_MDN,MARRIED,DEPENDENT,VETERAN,FIRST_GEN
Alabama A & M University,Normal,AL,35762,www.aamu.edu/,5,34.783368,-86.568502,0.5256,424,420,420,17,17,17,827,4206,0.0333,0.9353,0.0055,0.0019,0.0024,0.0019,21475,9096,16596,15000,33888,11500,14413,18255,17250,17500,14331,0.016594232,0.870406954,0,0.394033838
University of Alabama at Birmingham,Birmingham,AL,35294-0110,www.uab.edu,5,33.50223,-86.80917,0.8569,570,565,0,24,25,23,1107,11383,0.5922,0.26,0.0283,0.0518,0.0022,0.0007,20621,7510,17062,14382,21941.5,10000,14725,14692.5,14000,14725,14000,0.103455454,0.688384679,0.003330558,0.357158862
Amridge University,Montgomery,AL,36117-3553,www.amridgeuniversity.edu,5,32.362609,-86.17401,0,0,0,0,0,0,0,0,291,0.299,0.4192,0.0069,0.0034,0,0,16370,6900,6900,9500,23370,8687.5,8563,15750,13882,10875,8563,0.238670695,0.105740181,0,0.602409639
University of Alabama in Huntsville,Huntsville,AL,35899,www.uah.edu,5,34.722818,-86.63842,0.8203,595,590,0,27,28,26,1219,5451,0.6988,0.1255,0.0382,0.0376,0.0143,0.0002,21107,9158,21232,15750,24097,9500,17107,16938,14000,16500,15245.5,0.132094425,0.651431442,0.009040683,0.342919154
Alabama State University,Montgomery,AL,36104-0271,www.alasu.edu,5,32.364317,-86.295677,0.5326,425,430,0,18,17,17,851,4811,0.0158,0.9208,0.0121,0.0019,0.001,0.0006,18184,8720,15656,14362,33118.5,11500,14250,15019,14250,15500,13738,0.00977089,0.856469003,0,0.380557649
The University of Alabama,Tuscaloosa,AL,35487-0166,www.ua.edu/,5,33.2144,-87.545766,0.5105,555,565,540,27,28,25,1185,29851,0.7825,0.1119,0.0348,0.0106,0.0038,0.0009,26400,9826,24950,17375,23750,10000,18250,17250,16500,17750,16513.5,0.059157212,0.851586015,0.001968048,0.244552058
Central Alabama Community College,Alexander City,AL,35010,www.cacc.edu,5,32.924429,-85.94653,0,0,0,0,0,0,0,0,1592,0.7255,0.2613,0.0044,0.0025,0.0044,0,12054,3491,6576,6506,16127,6113,7174.5,6239,4500,7381.5,5500,0.103369066,0.605666156,0,0.560565871
Athens State University,Athens,AL,35611,www.athens.edu,5,34.805625,-86.96514,0,0,0,0,0,0,0,0,2991,0.7823,0.12,0.0191,0.0053,0.0157,0.001,0,0,0,12750,18595,8699,12833,13629,12258,12832,12666,0.36066624,0.287636131,0,0.471594798
Auburn University at Montgomery,Montgomery,AL,36117-3596,www.aum.edu,5,32.369939,-86.177351,0.8017,486,509,0,22,22,20,1009,4304,0.5328,0.3376,0.0074,0.0221,0.0044,0.0016,17903,9080,19640,9500,21335,6750,9500,10500,10250,10500,9500,0.077324066,0.722415291,0.006081668,0.387300049
Auburn University,Auburn,AL,36849,www.auburn.edu,5,32.604685,-85.482782,0.8347,575,588,565,27,28,26,1215,20514,0.8507,0.0704,0.0248,0.0227,0.0074,0,25282,10200,27384,17500,21831,8250,16500,18750,17475,18000,17000,0.025568182,0.911276224,0.003496504,0.198873874
