State,Year,Total_Cost_Attendence_On,Total_Cost_Attendence_Off,Tuition_Cost_IN,Tuition_Cost_OUT,Associate_degree_recipients,Undergraduate_certificate_recipients,Master_degree_recipients,Doctoral_and_first_professional_degree_recipients,Graduate_certificate_recipients
CA,2013,31735,25411,9352,187563,128414,140318,72068,18521,4952
CA,2000,15677,14054,4457,123382,79470,90457,45957,14187,5830
CA,2003,20508,18227,6243,142461,90098,109078,53542,14758,8198
CA,2004,22061,19230,6947,147001,93226,116637,55426,15432,6320
CA,2005,22795,19004,6900,151036,92747,112979,57113,15456,7105
CA,2006,23448,19334,6716,153332,95793,113329,56901,16078,5766
CA,2007,24853,20115,7137,158051,97010,117619,60956,16396,5906
CA,2008,25908,20115,6368,160955,98845,124869,64253,16422,8328
CA,2009,27958,21857,7260,164272,102035,137089,66600,16479,8326
CA,2010,29803,23128,8276,169691,107718,150836,69316,17301,8027
CA,2011,30902,25132,9242,172556,114849,144979,70821,17567,6458
CA,2012,31759,26052,9660,180593,120704,147081,71105,18479,4179
HI,2013,24117,22234,7272,6915,5448,1284,2121,506,136
HI,2000,12638,13183,3539,4896,3315,1216,1704,326,262
HI,2003,13709,14633,4448,5499,3654,1225,1901,272,163
HI,2004,14006,14357,4192,5300,3423,1015,2025,327,161
HI,2005,15011,16025,4440,5813,3204,978,1991,343,167
HI,2006,16299,16104,4767,5695,3254,836,1922,357,175
HI,2007,17183,17953,5005,5853,3128,843,1959,393,171
HI,2008,18144,18825,5224,5797,3221,785,1993,385,169
HI,2009,20260,19738,5727,5431,3346,882,2028,381,225
HI,2010,21532,20515,6154,5751,3766,1147,2062,529,175
HI,2011,22827,21120,6826,6016,4199,1226,2115,533,262
HI,2012,22835,21184,6737,6363,4402,1394,1978,556,141
FL,2013,26700,25482,9211,97004,96419,79989,34094,9113,1248
FL,2000,13947,13712,4125,52592,50509,46007,19687,5172,523
FL,2003,16819,16189,5492,63840,57944,62390,23188,6381,669
FL,2004,17634,17421,6305,65839,60441,63319,24014,6782,847
FL,2005,19425,16893,6634,69899,63489,63310,24042,6922,990
FL,2006,20172,18978,7600,73874,63080,62877,25573,7870,1311
FL,2007,21121,20051,7972,77514,65950,67139,26592,8123,1327
FL,2008,22421,21449,8000,80273,70901,71524,28377,8376,1424
FL,2009,23189,21045,8065,83417,79494,84369,29771,9135,1418
FL,2010,23888,22567,8156,86230,87391,91660,31766,9297,1223
FL,2011,25278,23435,8549,91225,103158,85231,33859,9485,1497
FL,2012,26011,25179,9152,94505,100960,81673,33032,9454,1383
TX,2013,23184,21539,8436,119364,71195,70324,46832,10800,1827
TX,2000,11934,12108,3708,76183,31675,37067,24711,7827,371
TX,2003,13600,14220,4644,85609,39322,55183,30905,8417,610
TX,2004,14604,15046,5179,88808,41780,56622,32730,8851,829
TX,2005,15950,14984,5731,92076,43785,58018,33011,9003,933
TX,2006,17261,15297,6041,95782,44701,58733,33213,9327,878
TX,2007,18262,16293,6499,98297,45903,58169,34752,9219,881
TX,2008,19427,17336,7007,102221,47936,64326,37027,9276,848
TX,2009,20005,17902,7263,104782,55050,78342,40127,9321,1067
TX,2010,20973,18276,7612,108057,58553,83773,42577,9744,1377
TX,2011,21833,18952,7760,111393,67765,76078,45692,10108,1556
TX,2012,22599,21196,8237,115695,68903,73054,47128,10426,1632
MA,2013,46128,37676,25339,58712,14189,13471,36118,8321,2465
MA,2000,25246,21468,12764,42813,10391,7043,25420,6132,1262
MA,2003,30001,25904,15912,45583,11373,9052,27768,6712,1699
MA,2004,31807,26967,16778,45714,11656,10620,27663,6981,1732
MA,2005,33108,27423,17678,47024,11139,10379,27874,7322,1990
MA,2006,34827,28836,18743,47885,10691,10516,27802,7828,2002
MA,2007,36765,30102,19662,49484,10926,10818,29571,7461,2102
MA,2008,38447,31231,20497,50106,11360,11573,30323,7651,2120
MA,2009,40134,31209,21077,52221,12414,13675,32136,7485,2498
MA,2010,41651,30980,22303,53749,12907,15223,34090,7637,2434
MA,2011,43226,33019,23480,55593,13645,15298,35748,8146,2387
MA,2012,44797,36703,24518,57134,13742,13094,35496,8289,2349
PA,2013,37855,33611,20353,93292,28598,29768,36952,9992,3065
PA,2000,19952,18245,10144,67024,23322,29295,22406,6563,636
PA,2003,23583,21701,12243,75913,24686,24877,26411,7403,1079
PA,2004,25082,23093,13187,78294,25679,25074,26521,7930,1339
PA,2005,26518,22438,13990,80337,26341,26666,27691,8206,1493
PA,2006,27688,23297,14502,81580,26389,25914,28999,8415,1578
PA,2007,29409,25120,15405,82700,26626,26027,30056,8636,1867
PA,2008,30986,26084,16286,85255,26989,26968,31967,9426,2191
PA,2009,32148,26840,16533,87751,27511,31652,34000,9135,2201
PA,2010,33751,28799,17442,88767,29260,33299,36119,9316,2055
PA,2011,35159,30384,18604,91276,30172,28255,36922,9384,2878
PA,2012,36643,31247,19542,91980,29035,28036,37236,9788,2723
AK,2013,18223,21659,9818,2033,1805,2532,707,60,257
AK,2000,16668,15638,3227,1343,966,1737,406,27,0
AK,2003,12531,15590,3624,1405,986,808,585,20,0
AK,2004,13053,16800,4326,1427,879,894,655,25,16
AK,2005,13418,16473,4231,1573,1045,975,582,21,56
AK,2006,14351,17251,4670,1512,1039,1056,716,33,78
AK,2007,14644,17899,4958,1498,1031,1101,692,29,80
AK,2008,16110,18806,5486,1626,999,1066,604,37,130
AK,2009,16306,19916,6472,1625,1184,1619,683,45,171
AK,2010,17188,21833,10155,1770,1523,1638,693,46,179
AK,2011,17337,21744,8545,1750,1706,2007,703,50,216
