Rank,Major,Degree_Type,Early_Career_Pay,Mid_Career_Pay
1,Petroleum Engineering,Bachelor's,96700,172000
2,Systems Engineering,Bachelor's,66400,121000
3,Actuarial Science,Bachelor's,60800,119000
4,Chemical Engineering,Bachelor's,69800,119000
5,Computer Science (CS) & Engineering,Bachelor's,71200,116000
6,Nuclear Engineering,Bachelor's,68500,116000
7,Electronics & Communications Engineering,Bachelor's,68000,115000
8,Electrical & Computer Engineering (ECE),Bachelor's,68100,114000
9,Aeronautical Engineering,Bachelor's,63000,113000
10,Computer Engineering (CE),Bachelor's,69600,113000
11,Computer Science (CS) & Mathematics,Bachelor's,63500,111000
12,Physics & Mathematics,Bachelor's,56200,111000
13,Applied Mathematics,Bachelor's,56100,110000
14,Electrical Engineering (EE),Bachelor's,67000,110000
15,Electrical & Electronics Engineering (EEE),Bachelor's,64000,108000
16,Industrial & Systems Engineering,Bachelor's,63800,108000
17,Materials Science & Engineering,Bachelor's,65800,108000
18,Physics,Bachelor's,55100,108000
19,Computer Science (CS),Bachelor's,65300,107000
20,Engineering,Bachelor's,62600,107000
21,Industrial Distribution,Bachelor's,56800,107000
22,Mining Engineering,Bachelor's,70200,107000
23,Aerospace Engineering,Bachelor's,65400,106000
24,Government,Bachelor's,49600,105000
25,Biomedical Engineering (BME),Bachelor's,62700,104000
26,Industrial Engineering (IE),Bachelor's,63800,104000
27,Structural Engineering (SE),Bachelor's,58700,104000
28,Mechanical Engineering (ME),Bachelor's,63500,103000
29,Physician Assistant Studies,Bachelor's,85200,103000
30,Construction Engineering Management,Bachelor's,59500,102000
31,Finance & Real Estate,Bachelor's,59500,101000
32,Economics,Bachelor's,53900,100000
33,Electronics Engineering,Bachelor's,61300,99600
34,Engineering Management,Bachelor's,62800,98400
35,Finance & Economics,Bachelor's,56700,98200
36,Software Engineering,Bachelor's,64700,98100
37,Biochemistry & Molecular Biology,Bachelor's,46000,97500
38,Statistics,Bachelor's,57400,97500
39,Management Information Systems (MIS),Bachelor's,58100,97400
40,Building Construction Management,Bachelor's,54400,96500
41,Civil Engineering (CE),Bachelor's,57200,96300
42,Mathematics,Bachelor's,54000,95700
43,Computing,Bachelor's,51400,95500
44,Mathematics & Statistics,Bachelor's,53700,95300
45,Management Science,Bachelor's,57200,95000
46,Marketing & International Business,Bachelor's,45400,94800
47,Packaging Science,Bachelor's,61100,94600
48,Construction Management,Bachelor's,57400,94500
49,Building Construction (BC),Bachelor's,56000,94000
50,Manufacturing Engineering,Bachelor's,62000,93200
51,Environmental Engineering,Bachelor's,53900,92800
52,Business Information Systems,Bachelor's,56300,92600
53,Information Systems (IS),Bachelor's,56300,92200
54,Operations & Supply Chain Management,Bachelor's,52600,92200
55,Civil & Environmental Engineering,Bachelor's,57200,91100
56,Construction Engineering,Bachelor's,59800,91000
57,International Business,Bachelor's,48800,91000
58,Engineering Technology (ET),Bachelor's,52500,90800
59,Agricultural Engineering (AE),Bachelor's,55000,90600
60,Government & Politics,Bachelor's,44600,90400
61,Aviation Management,Bachelor's,41900,90200
62,Molecular Biology,Bachelor's,45500,90100
